SAC,oks_average
37_M160B_3,553.7294032038792
33_M160B_3,510.62995659734315
36_M160B_3,505.37849026151906
04_M160B_5,479.82823958939116
06_M160B_3,473.81709113337917
59_M160B_3,448.8880800886904
25_M160B_5,427.23454942460074
25_M160B_7,411.3363627526417
19_M160B_2,381.8658077042908
11_M160B_5,374.1924150466592
48_F170B_6,359.6274270730549
37_M160B_1,336.25167888939114
11_M160B_6,335.2247605413901
22_M160B_7,334.18721856333
11_M160B_8,322.40189819921954
24_M160B_7,321.10756729479715
19_M160B_7,320.00278516038884
11_M160B_7,312.27387912113375
50_M160B_1,295.29316801789304
31_M160B_8,282.60404210773703
61_M160B_6,275.309948788683
22_M160B_6,274.3140589545909
04_M160B_7,273.14719862062566
07_M160B_1,257.8919542747875
61_M160B_1,236.27556280914808
22_M160B_1,233.46995706399093
19_M160B_8,231.85684985256412
31_M160B_4,215.9666803031406
04_M160B_6,175.76848280585602
37_M160B_2,168.5262397005293
50_M160B_2,148.7382742709425
64_M160B_2,140.49818678303154
33_F170A_5,106.81818462113158
12_M160B_2,93.62144948248347
42_M170A_7,76.45453868385088
25_F170B_4,72.83577967412116
37_F150B_1,69.91379492012075
32_F150B_6,65.58516130275689
42_F150A_5,62.825898516448326
25_M170A_1,62.53050785977379
51_F150A_1,62.51129717615812
33_F150A_1,60.8341266572952
42_F170A_7,59.363472045502746
21_F170D_3,59.06950515213765
43_M160C_7,58.828741487649914
39_M180B_5,57.21525642072677
12_F170D_8,56.89878162441735
37_F160B_7,55.53988197309738
42_M160C_6,54.86477577925902
42_M170A_3,54.30954115384809
39_M170A_2,54.10969849412662
42_M180B_7,53.12206965045158
04_M160B_8,52.95383942691537
33_M170A_2,52.198860590823365
42_M170B_7,52.0543542660507
39_M170B_5,51.25301546507038
33_M180A_7,51.13461266583486
40_M180B_3,50.79419224458512
45_M180B_3,50.30894343788953
21_F170D_4,49.67506472076438
68_M170A_6,49.570984981522976
68_M180D_2,48.610830637128345
16_M170A_1,47.92896955384848
21_F170C_4,47.551043126252196
04_F160B_2,47.04186251775156
42_M160C_7,46.90293010841221
32_M180A_2,46.83368308202725
16_M170A_8,46.78620632327096
32_F150C_6,46.613761190557994
70_M180D_2,46.33258001804239
40_F150C_8,45.55040800410353
61_F150A_5,45.44070689684952
04_F160D_4,45.37480806654545
42_F160B_3,44.94988784580984
43_M160C_5,44.837372218212124
52_M170B_2,44.77868045894005
36_M170A_3,44.75332397523865
43_M160A_5,44.536611492023006
43_F170D_7,44.394871595312054
04_F150B_2,44.20893150763448
43_M160C_1,43.94508243582724
42_M180A_5,43.88562208845163
43_M170D_5,43.780714414623425
56_M170B_8,43.666039944025854
28_M160B_7,43.64001373716733
51_M170A_2,43.411780291464396
21_M170A_5,43.36041463961592
28_M160B_6,43.25279255725305
48_F160B_6,42.89357027426254
43_F170D_1,42.79003745461575
31_F170D_1,42.58214217366322
42_M180A_1,42.50278301659615
48_F170C_8,42.43668107598459
39_M170A_4,42.43234486811818
51_M180B_3,42.40012474119783
34_F170D_1,42.31880310171535
43_M160A_1,42.257612679394555
37_F160A_7,42.15049723094493
33_F150B_8,41.13943815709364
63_M180A_6,41.10873057675253
21_M180A_4,41.02712773900929
39_F150B_4,40.91164636227105
33_F170D_8,40.762596673821704
23_M170A_7,40.18765617196978
42_F170C_3,40.05456842253012
33_F160D_8,40.040004915647074
16_M180A_3,40.03518080724152
51_F170D_1,39.96964194400191
28_M160B_4,39.87303759894284
39_F150B_8,39.84773638871215
39_F150B_1,39.8403604386215
04_M170D_2,39.75923708443934
33_M180B_2,39.67168716266597
51_M170A_3,39.3670864620679
21_F150B_4,39.255035470845826
16_M160D_3,39.184795131536816
21_M170D_4,39.134833331415955
16_M170A_4,38.573169983666624
36_M180D_4,38.50728332274028
48_M170D_4,38.279718508132255
46_M160A_4,38.27103322452969
23_M170D_3,37.952830698906496
23_M160C_4,37.859229619833506
23_M170B_4,37.75024064944539
33_M160B_4,37.72892404913414
31_M160A_3,37.71877369332096
50_M160D_5,37.71794731278787
34_M170B_4,37.49871324004841
53_F160C_4,37.38784218731509
48_M170D_2,37.35632871627518
52_M160B_5,37.32838783837085
70_F150A_2,37.049302129232416
39_M170B_8,36.73409839120357
26_F170D_1,36.66696840696243
34_M170D_3,36.65013409077188
50_M160A_6,36.62919393477935
23_M170A_3,36.57802113122361
61_F160C_5,36.41916338238721
33_M170D_7,36.41135664027141
21_M170B_4,36.20813936212545
61_F150C_3,36.205321709056705
33_M170D_6,36.09989917846004
59_F160B_4,36.09036371951212
16_M170A_3,35.99005355596986
09_F150B_4,35.86068736496285
61_F170A_3,35.72335361058048
69_F170D_6,35.620176127369824
45_M180B_4,35.421095636550774
43_M160A_3,35.413128429115176
45_F170D_2,35.3056023443309
48_F170D_4,35.28951236601585
23_M160C_3,35.27826743546482
51_M170B_3,35.25775262773804
14_F170D_5,35.216261457059794
33_F150A_5,35.034692325058025
13_M170A_8,35.003865331320036
50_F170C_5,34.99759974922723
31_M170A_2,34.92796592447983
04_F170D_2,34.9260143729729
59_F160D_4,34.905379234571676
50_M160C_3,34.85762256416859
34_M180B_3,34.793761860194124
52_F170A_3,34.78204308982192
23_M170B_3,34.76025898352355
26_F170D_5,34.731049877898556
52_F160C_3,34.72710407859016
39_F170D_8,34.65029052809636
34_M180B_4,34.60788480427996
50_M160B_4,34.57624483617172
15_F160B_4,34.567100355996516
40_F160D_2,34.53608504372813
70_M180D_4,34.5153529241253
43_M160C_3,34.48896064009364
31_M180B_3,34.41941735997519
61_F160C_3,34.41494448196589
16_F160B_7,34.32238897639576
50_F150C_4,34.26772908461921
04_F170D_8,34.05938651620053
31_M170A_3,33.99210837041367
50_F170C_4,33.9609515388793
26_M160C_3,33.93243172092676
15_F160A_4,33.926131948541574
53_M160B_4,33.89126338368379
37_F150B_5,33.86118695418994
46_M160A_6,33.84789947788769
51_F170D_8,33.82950516278888
56_M170B_2,33.78029839603414
34_M170D_4,33.72018875974544
15_M160D_6,33.66686930668595
16_M180A_4,33.55367930831925
21_M180D_8,33.54783350041262
46_M160A_2,33.47820798357099
21_F170A_4,33.468306512735836
61_M160D_5,33.458006447438294
46_F160B_1,33.43207592994909
36_M180A_4,33.428789706907715
16_M160C_4,33.41158421813112
48_F150C_8,33.39878004910728
42_M180B_4,33.33895402184454
40_F160B_2,33.33272742617381
34_M170B_2,33.278157172762725
21_F160D_6,33.25745843031822
33_M180B_5,33.25542099245724
59_M170A_4,33.25218912087267
56_M170B_3,33.23850829195436
23_F160B_4,33.199035124667525
16_F170C_2,33.18309091679713
61_M160D_3,33.15127146973982
28_M160B_2,33.05451449278022
60_F150A_8,33.04414875841295
28_M170A_8,33.02817885040224
13_F170D_6,33.00689641674206
48_F150B_5,32.98516319200739
52_M160A_2,32.890734247506614
60_F160C_3,32.85912891338503
53_F160C_1,32.84518026158214
61_F160B_4,32.83752174996296
61_M170A_5,32.82697848141667
23_M170B_2,32.701876598297325
61_F160D_5,32.6444717516055
34_M160D_3,32.61447524408931
23_M170B_7,32.60821272047635
26_M160C_4,32.608044477848836
50_M160C_2,32.54594699384997
52_F160C_2,32.54425263679239
49_M170D_5,32.502629761880236
37_F160B_3,32.4995691189908
39_M180B_4,32.33290645841184
61_F170D_3,32.324001240039784
33_M180D_4,32.24818905334887
33_M170B_2,32.21200896543998
36_F170D_4,32.17777237768983
43_M160A_2,32.12136147977372
50_F150C_5,32.02767305431524
12_F160B_2,32.00164643102196
21_M160A_4,31.93701270377463
15_M180A_4,31.863658110662765
42_M160A_4,31.827318489151
61_F160C_4,31.800392758029602
47_F170A_2,31.74340352769414
21_M180D_6,31.72309378903249
33_M160C_4,31.70727383856936
37_M160B_8,31.6684934080546
51_M180B_4,31.6642721149722
21_M170A_4,31.659449173737396
43_M160C_4,31.630370776534136
60_M160D_4,31.591199405440143
61_F170A_4,31.561725888342814
53_M160A_5,31.542883083672624
23_M180B_4,31.53832942457943
50_M160A_5,31.432642860588647
33_M180B_4,31.29898244679696
44_M160D_2,31.260878564620207
15_M180A_2,31.190889722461268
23_M170A_2,31.185447427366885
32_M160C_8,31.163356260881976
21_M180B_4,31.15289327536187
59_F170A_4,31.06714522495336
48_F150B_3,31.049461365251915
15_M170B_2,31.036600436395567
13_F150C_6,31.004848047626307
31_M160C_2,30.981522362739874
16_F160B_6,30.97929642290071
15_M160C_8,30.907196195964087
57_M160A_6,30.89532751672644
48_M170D_8,30.868645747482706
12_M180B_4,30.86612514261098
39_F150D_8,30.795658080204365
50_F150C_3,30.76191411752213
31_M160A_7,30.739717940508807
50_F170C_3,30.729253234601696
66_M180D_8,30.713391998211794
47_F170D_6,30.672919911799074
61_F170D_4,30.66795918332827
37_M180D_3,30.659462628364604
34_M160C_3,30.658843402429312
48_F160B_4,30.626291904868587
70_M180D_3,30.582172006034213
45_M180B_1,30.433163564536272
16_M160C_3,30.365834208569606
48_F170D_8,30.36148526244051
13_F170B_4,30.287113380171075
13_F150C_2,30.27950549626912
31_M160A_2,30.27847203660825
13_M160D_2,30.271295522573364
52_M180D_7,30.21478110750487
23_M180A_3,30.18548762498497
60_F160C_2,30.1568346675192
04_F160A_8,30.108748917397243
21_F170A_8,30.07583095400253
61_M160A_3,30.05358300049969
70_M170A_6,30.051596042206057
